id,kind,title,release,rating,cast,cast_id,genres,duration,budget,worldwide_gross,summary,cover_url
151804,movie,Office Space,19-Feb-99,7.7,"Ron Livingston(Peter), Jennifer Aniston(Joanna), David Herman(Michael Bolton), Ajay Naidu(Samir), Diedrich Bader(Lawrence)","0515296, 0000098, 0379114, 0619651, 0046033",Comedy,89,"$10,000,000 (estimated)","$12,179,708","In the Initech office, the insecure Peter Gibbons hates his job and the obnoxious Division VP Bill Lumbergh who has just hired two efficiency consultants to downsize the company. His best friends are two software engineers Michael Bolton and Samir Nagheenanajar, that also hate Initech, and his intrusive next door neighbor Lawrence. He believes his girlfriend Anne is cheating on him but she convinces Peter to visit the hypnotherapist Dr. Swanson. Peter tells how miserable his life is and Dr. Swanson hypnotizes him and he goes into a state of ecstasy. However, Dr. Swanson dies immediately after giving the hypnotic suggestion to Peter. Peter, in his new state, starts to date the waitress Joanna and changes his attitude which results in his being promoted by the consultants. When he discovers that Michael and Samir will be downsized, they decide to plant a virus in the banking system to embezzle fraction of cents on each financial operation into Peter's account. However Michael commits a mistake in the software on the decimal place and they siphon off over $300 thousand. The desperate trio tries to fix the problem, return the money and avoid going to prison.",https://m.media-amazon.com/images/M/MV5BOTA5MzQ3MzI1NV5BMl5BanBnXkFtZTgwNTcxNTYxMTE@.jpg
147612,movie,Happiness,16-Oct-98,7.7,"Jane Adams(Joy Jordan), Jon Lovitz(Andy Kornbluth), Philip Seymour Hoffman(Allen), Dylan Baker(Bill Maplewood), Lara Flynn Boyle(Helen Jordan)","0011038, 0001484, 0000450, 0048414, 0001223","Comedy, Drama",134,"$2,200,000 (estimated)",NA,"A woman breaks up with her boyfriend, he thinks it's because he's fat. A man is unable to tell her next door neighbor he finds her sexually attractive. An old couple wants to split up, but they don't want to get a divorce. A therapist masturbates to teen magazines. An 11 year old kid is insecure about the fact that he hasn't cum yet. Office workers try to recall the face of a coworker who recently died. A woman is sure she has everything she could ever want. The lives of these individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",https://m.media-amazon.com/images/M/MV5BM2FlNzE0ZmUtMmVkZS00MWQ3LWE4OWQtYjQwZjdhNzRmNWE2XkEyXkFqcGdeQXVyMTAwMzUyOTc@.jpg
139654,movie,Training Day,05-Oct-01,7.7,"Denzel Washington(Alonzo), Ethan Hawke(Jake), Scott Glenn(Roger), Tom Berenger(Stan Gursky), Harris Yulin(Doug Rosselli)","0000243, 0000160, 0001277, 0000297, 0950867","Crime, Drama, Thriller",122,"$45,000,000 (estimated)","$104,876,233","In Los Angeles, a city where streets are overrun by drug dealers, those who have sworn to uphold the law are breaking them to clean up the streets. Denzel Washington plays L.A.P.D. detective Alonzo Harris, a veteran narcotics officer whose methods of enforcing the law are questionable, if not corrupt. 'Training Day' follows Harris as he trains rookie Jake Hoyt over a 24-hour period. Ethical dilemmas arise for Hoyt as well as the audience as questions present themselves as to whether or not Harris' methodology for ridding the streets of South Central Los Angeles of drugs is right or wrong.",https://m.media-amazon.com/images/M/MV5BMDZkMTUxYWEtMDY5NS00ZTA5LTg3MTItNTlkZWE1YWRjYjMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
128445,movie,Rushmore,19-Feb-99,7.7,"Jason Schwartzman(Max Fischer), Bill Murray(Herman Blume), Olivia Williams(Rosemary Cross), Seymour Cassel(Bert Fischer), Brian Cox(Dr. Nelson Guggenheim)","0005403, 0000195, 0931404, 0001025, 0004051","Comedy, Drama",93,"$9,000,000 (estimated)",NA,"Max Fischer is a precocious 15-year-old whose reason for living is his attendance at Rushmore, a private school where he's not doing well in any of his classes, but where he's the king of extracurricular activities - from being in the beekeeping society to writing and producing plays, there's very little after school he doesn't do. His life begins to change, however, when he finds out he's on academic probation, and when he stumbles into love with Miss Cross, a pretty teacher of the elementary school at Rushmore. Added to the mix is his friendship with Herman Blume, wealthy industrialist and father to boys who attend the school, and who also finds himself attracted to Miss Cross. Max's fate becomes inextricably tied to this odd love triangle, and how he sets about resolving it is the story in the film.",https://m.media-amazon.com/images/M/MV5BMjE2OTc3OTk2M15BMl5BanBnXkFtZTgwMjg2NjIyMDE@.jpg
120601,movie,Being John Malkovich,24-Nov-99,7.7,"John Cusack(Craig Schwartz), Cameron Diaz(Lotte Schwartz), Ned Bellamy(Derek Mantini), Eric Weinstein(Father at Puppet Show), Madison Lanc(Daughter at Puppet Show)","0000131, 0000139, 0068709, 0918435, 0484099","Comedy, Drama, Fantasy",113,"$13,000,000 (estimated)",NA,"Puppeteer Craig Schwartz and animal lover and pet store clerk Lotte Schwartz are just going through the motions of their marriage. Despite not being able to earn a living solely through puppeteering, Craig loves his profession as it allows him to inhabit the skin of others. He begins to take the ability to inhabit the skin of others to the next level when he is forced to take a job as a file clerk for the off-kilter LesterCorp, located on the five-foot tall 7½ floor of a Manhattan office building. Behind one of the filing cabinets in his work area, Craig finds a hidden door which he learns is a portal into the mind of John Malkovich, the visit through the portal which lasts fifteen minutes after which the person is spit into a ditch next to the New Jersey Turnpike. Craig is fascinated by the meaning of life associated with this finding. Lotte's trips through the portal make her evaluate her own self. And the confident Maxine Lund, one of Craig's co-workers who he tells about the portal if only because he is attracted to her, thinks that it is a money making opportunity in selling trips into Malkovich's mind after office hours for $200 a visit. Craig, Lotte and Maxine begin to understand that anyone entering the portal has the ability to control Malkovich's mind, which also alters his entire being. This experience makes Maxine fall in love with a composite. This ability to control Malkovich's mind begs the question of the ultimate psychedelic trip for Malkovich himself, who begins to feel that something is not right in the world as he knows it.",https://m.media-amazon.com/images/M/MV5BYmUxY2MyOTQtYjRlMi00ZWEwLTkzODctZDMxNDcyNTFhYjNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg
119822,movie,As Good as It Gets,25-Dec-97,7.7,"Jack Nicholson(Melvin Udall), Helen Hunt(Carol Connelly), Greg Kinnear(Simon Bishop), Cuba Gooding Jr.(Frank Sachs), Skeet Ulrich(Vincent)","0000197, 0000166, 0001427, 0000421, 0000240","Comedy, Drama, Romance",139,"$50,000,000 (estimated)","$314,178,011","New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
119116,movie,The Fifth Element,07-May-97,7.7,"Bruce Willis(Korben Dallas), Gary Oldman(Zorg), Ian Holm(Cornelius), Milla Jovovich(Leeloo), Chris Tucker(Ruby Rhod)","0000246, 0000198, 0000453, 0000170, 0000676","Action, Adventure, Sci-Fi",126,"$93,000,000 (estimated)","$263,920,180, 10 Jul 2012","In the twenty-third century, the universe is threatened by evil. The only hope for mankind is the Fifth Element, who comes to Earth every five thousand years to protect the humans with four stones of the four elements: fire, water, Earth and air. A Mondoshawan spacecraft is bringing The Fifth Element back to Earth but it is destroyed by the evil Mangalores. However, a team of scientists use the DNA of the remains of the Fifth Element to rebuild the perfect being called Leeloo. She escapes from the laboratory and stumbles upon the taxi driver and former elite commando Major Korben Dallas that helps her to escape from the police. Leeloo tells him that she must meet Father Vito Cornelius to accomplish her mission. Meanwhile, the Evil uses the greedy and cruel Jean-Baptiste Emanuel Zorg and a team of mercenary Mangalores to retrieve the stones and avoid the protection of Leeloo. But the skilled Korben Dallas has fallen in love with Leeloo and decides to help her to retrieve the stones.",https://m.media-amazon.com/images/M/MV5BZWFjYmZmZGQtYzg4YS00ZGE5LTgwYzAtZmQwZjQ2NDliMGVmXkEyXkFqcGdeQXVyNTUyMzE4Mzg@.jpg
119038,movie,Le Dîner de Cons,15-Apr-98,7.7,"Thierry Lhermitte(Pierre Brochant), Jacques Villeret(François Pignon), Francis Huster(Juste Leblanc), Daniel Prévost(Lucien Cheval), Alexandra Vandernoot(Christine Brochant)","0508293, 0898317, 0404091, 0699545, 0888824",Comedy,80,"FRF82,000,000 (estimated)",NA,"To amuse themselves at a weekly dinner, a few well-heeled folk each bring a dimwit along who is to talk about his pastime. Each member seeks to introduce a champion dumbbell. Pierre, an avid participant of the game, runs into one problem after another that devilishly compromises his secrets, turning the tables on him and his objective, which diverges as the movie progresses. Firstly, wishing to be certain he has selected a winner, he invited his guest, Mr. Pignon, to meet him at home before setting off; but night of all nights, Pierre has put his back out and it is questionable whether he can manage to get to the dinner. The blundering Mr. Pignon will continually spring forward to help relieve Pierre of his troubles, which have drastically compounded, pointing in the direction of friends, taxes and women, and Pierre's dimwit Pignon accordingly will prove his substance to the end.",https://m.media-amazon.com/images/M/MV5BZjFkOWM5NDUtODYwOS00ZDg0LWFkZGUtYzBkYzNjZjU3ODE3XkEyXkFqcGdeQXVyNzQzNzQxNzI@.jpg
119008,movie,Donnie Brasco,28-Feb-97,7.7,"Al Pacino(Lefty), Johnny Depp(Donnie), Michael Madsen(Sonny), Bruno Kirby(Nicky), James Russo(Paulie)","0000199, 0000136, 0000514, 0456124, 0751638","Biography, Crime, Drama",127,"$35,000,000 (estimated)","$124,909,762","This true story follows FBI agent Joe Pistone as he infiltrates the mafia of New York. Befriending Lefty Ruggiero, Pistone (under the name Donnie Brasco) is able to embed himself in a mafia faction led by Sonny Black. Ruggiero and Pistone become tight as the group goes about collecting money for 'the bosses'. Eventually, the group become big-time when Black himself becomes a boss; all the while, Pistone collects evidence. However, the trials and tribulations of the undercover work become more than Pistone can bear. His marriage falls apart, and to top it off, the mafia suspect a mole in the organization. The real dilemma is afforded to Pistone, who knows if he walks away from the mafia, Ruggiero will be the one punished.",https://m.media-amazon.com/images/M/MV5BYzMzMDZkYWEtODIzNS00YjI3LTkxNTktOWEyZGM3ZWI2MWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg
117631,movie,Shine,15-Aug-96,7.7,"Geoffrey Rush(David Helfgott - Adult), Justin Braine(Tony), Sonia Todd(Sylvia), Chris Haywood(Sam), Alex Rafalowicz(David Helfgott - Child)","0001691, 0104051, 0865286, 0371824, 0706162","Biography, Drama, Music, Romance",105,"$5,500,000 (estimated)",NA,"As a child piano prodigy, David Helfgott's musical ambitions generate friction with his overbearing father, Peter. When Helfgott travels to London on a musical scholarship, his career as a pianist blossoms. However, the pressures of his newfound fame, coupled with the echoes of his tumultuous childhood, conspire to bring Helfgott's latent schizophrenia boiling to the surface, and he spends years in and out of various mental institutions.",https://m.media-amazon.com/images/M/MV5BMTQzMzcxMzUyMl5BMl5BanBnXkFtZTgwNDI1MjgxMTE@.jpg
